ens	symbol	length	weight
21822	ENSG00000248576	AC023794.2	5456	0
21823	ENSG00000094916	CBX5	49191	0.5
21824	ENSG00000257596	SCAT2	16448	0
21825	ENSG00000258344	AC078778.1	68452	1
21826	ENSG00000135486	HNRNPA1	6895	1
21827	ENSG00000123405	NFE2	8904	1
21828	ENSG00000111481	COPZ1	50644	0.5
21829	ENSG00000258137	AC079313.2	144027	0
21830	ENSG00000258086	AC079313.1	113193	0
21831	ENSG00000139572	GPR84	2042	1
21832	ENSG00000161642	ZNF385A	22165	1
21833	ENSG00000161638	ITGA5	24005	1
21834	ENSG00000257477	LINC01154	1100	0
21835	ENSG00000170627	GTSF1	17652	1
21836	ENSG00000123338	NCKAP1L	50491	1
21837	ENSG00000257824	AC068789.1	994	0
21838	ENSG00000123360	PDE1B	29638	1
21839	ENSG00000135447	PPP1R1A	13272	1
21840	ENSG00000135413	LACRT	4084	1
21841	ENSG00000161634	DCD	3904	1
21842	ENSG00000257634	AC079310.1	4461	0
21843	ENSG00000172551	MUCL1	65490	1
21844	ENSG00000135426	TESPA1	36747	1
21845	ENSG00000257870	AC027287.2	4501	0
21846	ENSG00000123307	NEUROD4	10043	1
21847	ENSG00000170605	OR9K2	6344	1
21848	ENSG00000179919	OR10A7	950	1
21849	ENSG00000197706	OR6C74	1104	1
21850	ENSG00000188324	OR6C6	2581	1
21851	ENSG00000205330	OR6C1	8021	1
21852	ENSG00000205329	OR6C3	2644	1
21853	ENSG00000187857	OR6C75	6304	1
21854	ENSG00000205328	OR6C65	1075	1
21855	ENSG00000185821	OR6C76	938	1
21856	ENSG00000258763	AC122685.1	150737	0
21857	ENSG00000179695	OR6C2	9278	1
21858	ENSG00000184954	OR6C70	938	1
21859	ENSG00000205327	OR6C68	938	1
21860	ENSG00000179626	OR6C4	6230	1
21861	ENSG00000179615	OR2AP1	3144	1
21862	ENSG00000175398	OR10P1	994	1
21863	ENSG00000258921	AC009779.5	20883	0
21864	ENSG00000170439	METTL7B	2933	1
21865	ENSG00000135424	ITGA7	31475	1
21866	ENSG00000135441	BLOC1S1	4050	0
21867	ENSG00000135437	RDH5	4338	1
21868	ENSG00000135404	CD63	4384	0.5
21869	ENSG00000258056	AC009779.2	1748	0
21870	ENSG00000135414	GDF11	14142	1
21871	ENSG00000205323	SARNP	65261	0.5
21872	ENSG00000257509	AC073487.1	1078	1
21873	ENSG00000123353	ORMDL2	3838	0.5
21874	ENSG00000135392	DNAJC14	9864	0
21875	ENSG00000123342	MMP19	7533	1
21876	ENSG00000170473	PYM1	31205	1
21877	ENSG00000065357	DGKA	26708	1
21878	ENSG00000273973	AC025162.2	559	1
21879	ENSG00000185664	PMEL	19212	1
21880	ENSG00000123374	CDK2	6008	1
21881	ENSG00000258554	AC025162.1	636	0
21882	ENSG00000111540	RAB5B	22770	0.5
21883	ENSG00000139531	SUOX	9461	0
21884	ENSG00000123411	IKZF4	30776	1
21885	ENSG00000273890	AC034102.8	483	0
21886	ENSG00000257449	AC034102.3	12157	0
21887	ENSG00000197728	RPS26	3346	0
21888	ENSG00000065361	ERBB3	26706	1
21889	ENSG00000170515	PA2G4	9373	0.5
21890	ENSG00000257553	AC034102.4	9291	0
21891	ENSG00000229117	RPL41	1377	0
21892	ENSG00000139641	ESYT1	26421	1
21893	ENSG00000135482	ZC3H10	9254	0.5
21894	ENSG00000258345	AC034102.7	971	0
21895	ENSG00000258317	AC034102.6	9586	0
21896	ENSG00000257809	AC034102.5	7424	0
21897	ENSG00000196465	MYL6B	7391	1
21898	ENSG00000092841	MYL6	5335	1
21899	ENSG00000139613	SMARCC2	27208	1
21900	ENSG00000258199	AC073896.4	27925	1
21901	ENSG00000181852	RNF41	19754	1
21902	ENSG00000139579	NABP2	7839	0.5
21903	ENSG00000139540	SLC39A5	7797	1
21904	ENSG00000139645	ANKRD52	20577	1
21905	ENSG00000135469	COQ10A	4108	0
21906	ENSG00000258260	AC073896.5	2311	0
21907	ENSG00000062485	CS	28692	0
21908	ENSG00000257303	AC073896.2	17916	0
21909	ENSG00000257740	AC073896.3	581	0
21910	ENSG00000257727	CNPY2	6277	1
21911	ENSG00000135473	PAN2	17830	1
21912	ENSG00000110944	IL23A	6236	1
21913	ENSG00000170581	STAT2	18570	1
21914	ENSG00000175336	APOF	2289	1
21915	ENSG00000276272	AC024884.2	1246	0
21916	ENSG00000111602	TIMELESS	33063	1
21917	ENSG00000135517	MIP	19664	1
21918	ENSG00000176422	SPRYD4	11130	0
21919	ENSG00000135423	GLS2	17470	0
21920	ENSG00000076067	RBMS2	74373	1
21921	ENSG00000076108	BAZ2A	41220	1
21922	ENSG00000110955	ATP5F1B	7809	0.5
21923	ENSG00000110958	PTGES3	25067	0.5
21924	ENSG00000196531	NACA	19200	0.5
21925	ENSG00000198056	PRIM1	21078	1
21926	ENSG00000025423	HSD17B6	35629	1
21927	ENSG00000170426	SDR9C7	11275	1
21928	ENSG00000139547	RDH16	7943	1
21929	ENSG00000287715	AC026120.3	3022	1
21930	ENSG00000166856	GPR182	3955	1
21931	ENSG00000166860	ZBTB39	7710	0.5
21932	ENSG00000166863	TAC3	18883	1
21933	ENSG00000166866	MYO1A	22681	1
21934	ENSG00000166881	NEMP1	32420	1
21935	ENSG00000166886	NAB2	6433	1
21936	ENSG00000166888	STAT6	36731	1
21937	ENSG00000123384	LRP1	84878	1
21938	ENSG00000259125	LRP1-AS	2999	0
21939	ENSG00000182379	NXPH4	9655	1
21940	ENSG00000276727	AC137834.2	700	0
21941	ENSG00000182199	SHMT2	5362	0
21942	ENSG00000185633	NDUFA4L2	5812	1
21943	ENSG00000185482	STAC3	7735	1
21944	ENSG00000179912	R3HDM2	177243	0.5
21945	ENSG00000258001	AC126614.1	2819	0
21946	ENSG00000175189	INHBC	17278	1
21947	ENSG00000139269	INHBE	6957	1
21948	ENSG00000287200	AC022506.2	5222	1
21949	ENSG00000111087	GLI1	12483	1
21950	ENSG00000123329	ARHGAP9	16550	1
21951	ENSG00000166986	MARS	42124	0
21952	ENSG00000175197	DDIT3	5149	1
21953	ENSG00000285133	AC022506.1	2768	1
21954	ENSG00000166987	MBD6	9438	1
21955	ENSG00000175203	DCTN2	17229	0.5
21956	ENSG00000155980	KIF5A	36589	1
21957	ENSG00000166908	PIP4K2C	12244	1
21958	ENSG00000178498	DTX3	5182	1
21959	ENSG00000240771	ARHGEF25	7065	1
21960	ENSG00000224713	AC025165.1	7520	0
21961	ENSG00000135502	SLC26A10	6624	1
21962	ENSG00000135454	B4GALNT1	9830	1
21963	ENSG00000135506	OS9	27602	0.5
21964	ENSG00000257342	AC025165.2	27378	0
21965	ENSG00000135439	AGAP2	18396	1
21966	ENSG00000255737	AGAP2-AS1	2085	0
21967	ENSG00000135452	TSPAN31	12206	0.5
21968	ENSG00000135446	CDK4	8286	0.5
21969	ENSG00000139266	MARCH9	5308	1
21970	ENSG00000111012	CYP27B1	6652	0
21971	ENSG00000037897	METTL1	3648	1
21972	ENSG00000123427	EEF1AKMT3	11049	1
21973	ENSG00000123297	TSFM	25310	0
21974	ENSG00000135407	AVIL	21328	1
21975	ENSG00000270039	AC025165.5	577	0
21976	ENSG00000269903	AC025165.4	432	0
21977	ENSG00000175215	CTDSP2	26802	0.5
21978	ENSG00000257953	AC083805.2	5653	0
21979	ENSG00000245651	AC083805.1	26648	0
21980	ENSG00000273805	AC083805.3	2614	0
21981	ENSG00000166896	ATP23	53109	1
21982	ENSG00000257698	GIHCG	6230	0
21983	ENSG00000257541	LINC02403	5470	0
21984	ENSG00000258231	AC020637.1	268936	0
21985	ENSG00000257259	LINC02388	215788	0
21986	ENSG00000139263	LRIG3	48373	1
21987	ENSG00000257443	AC068305.2	143599	0
21988	ENSG00000286351	AC046129.1	1364	1
21989	ENSG00000286279	AC108721.2	114109	1
21990	ENSG00000258214	AC108721.1	44953	0
21991	ENSG00000257230	LINC02448	906	0
21992	ENSG00000118596	SLC16A7	193826	1
21993	ENSG00000257294	AC080011.1	3207	0
21994	ENSG00000287014	AC087883.2	119499	1
21995	ENSG00000286402	AC090629.1	34469	1
21996	ENSG00000198673	TAFA2	570891	1
21997	ENSG00000257880	AC078789.1	5644	1
21998	ENSG00000135655	USP15	157093	1
21999	ENSG00000061987	MON2	133659	0.5
22000	ENSG00000257568	AC079035.1	2583	0
22001	ENSG00000221949	LINC01465	1939	0
22002	ENSG00000257354	AC048341.1	19461	0
22003	ENSG00000275180	AC048341.2	490	0
22004	ENSG00000111110	PPM1H	291156	1
22005	ENSG00000257235	AC078814.1	2203	0
22006	ENSG00000166148	AVPR1A	8183	1
22007	ENSG00000258117	AC026116.1	67412	0
22008	ENSG00000177990	DPY19L2	110026	1
22009	ENSG00000249753	AC084357.2	171930	0
22010	ENSG00000118600	RXYLT1	29720	0.5
22011	ENSG00000255850	RXYLT1-AS1	17417	0
22012	ENSG00000196935	SRGAP1	317517	1
22013	ENSG00000256571	AC079866.2	687	1
22014	ENSG00000255886	AC020611.2	59056	0
22015	ENSG00000287618	AC025576.3	31124	1
22016	ENSG00000255817	AC025576.2	11726	0
22017	ENSG00000255629	AC025576.1	1469	0
22018	ENSG00000174206	C12orf66	35980	0.5
22019	ENSG00000185306	C12orf56	125996	1
22020	ENSG00000184575	XPOT	46733	0.5
22021	ENSG00000277895	AC135279.4	1310	0
22022	ENSG00000183735	TBK1	50022	0.5
22023	ENSG00000153179	RASSF3	190563	1
22024	ENSG00000256199	AC078962.2	26472	0
22025	ENSG00000256670	AC078962.4	10381	0
22026	ENSG00000225195	AC078962.1	1632	1
22027	ENSG00000256314	AC078962.3	959	0
22028	ENSG00000135677	GNS	45986	0.5
22029	ENSG00000215159	AC025262.1	19797	0
22030	ENSG00000111490	TBC1D30	100517	1
22031	ENSG00000286682	AC025262.4	5776	1
22032	ENSG00000255693	LINC02389	107252	0
22033	ENSG00000248995	LINC02231	61679	0
22034	ENSG00000198671	AC135895.1	36656	0
22035	ENSG00000156076	WIF1	70679	1
22036	ENSG00000174106	LEMD3	78772	1
22037	ENSG00000276853	AC026124.2	655	1
22038	ENSG00000174099	MSRB3	212787	1
22039	ENSG00000250280	AC026124.1	5071	1
22040	ENSG00000250748	AC025419.1	175552	0
22041	ENSG00000255866	AC090023.1	3964	0
22042	ENSG00000256268	LINC02454	23889	0
22043	ENSG00000256915	AC090023.2	41026	0
22044	ENSG00000149948	HMGA2	142164	1
22045	ENSG00000277945	AC107308.1	300	1
22046	ENSG00000197301	HMGA2-AS1	30827	0
22047	ENSG00000256083	AC090673.1	13702	0
22048	ENSG00000256259	LINC02425	3341	0
22049	ENSG00000139233	LLPH	14195	1
22050	ENSG00000239335	LLPH-DT	3698	0
22051	ENSG00000155957	TMBIM4	34226	0.5
22052	ENSG00000090376	IRAK3	65427	1
22053	ENSG00000256072	AC078889.1	5689	0
22054	ENSG00000127311	HELB	45100	1
22055	ENSG00000155974	GRIP1	721731	1
22056	ENSG00000257083	AC073530.1	145656	0
22057	ENSG00000111530	CAND1	50595	1
22058	ENSG00000286563	AC078983.1	21910	1
22059	ENSG00000256172	LINC02420	1561	0
22060	ENSG00000203585	LINC02408	147666	0
22061	ENSG00000256077	LINC02442	18790	0
22062	ENSG00000127334	DYRK2	17068	1
22063	ENSG00000235872	AC078777.1	11928	0
22064	ENSG00000255970	LINC02421	20428	0
22065	ENSG00000255772	LINC01479	40782	0
22066	ENSG00000255733	IFNG-AS1	245241	0
22067	ENSG00000111537	IFNG	4972	1
22068	ENSG00000111536	IL26	24461	1
22069	ENSG00000127318	IL22	5362	1
22070	ENSG00000111554	MDM1	59938	1
22071	ENSG00000251301	LINC02384	118775	0
22072	ENSG00000256273	AC022511.1	5295	0
22073	ENSG00000273824	AC008033.3	1406	0
22074	ENSG00000127314	RAP1B	61046	1
22075	ENSG00000247363	AC090061.1	13384	0
22076	ENSG00000111581	NUP107	58858	0.5
22077	ENSG00000175782	SLC35E3	47788	0.5
22078	ENSG00000135679	MDM2	42509	1
22079	ENSG00000256325	AC025423.1	435	0
22080	ENSG00000257181	AC025423.4	1949	0
22081	ENSG00000135678	CPM	129373	1
22082	ENSG00000258140	AC127894.1	12134	0
22083	ENSG00000111605	CPSF6	34789	0.5
22084	ENSG00000274979	AC020656.2	5308	0
22085	ENSG00000090382	LYZ	5893	1
22086	ENSG00000257764	AC020656.1	732	0
22087	ENSG00000127337	YEATS4	31160	1
22088	ENSG00000257507	LINC02373	11254	0
22089	ENSG00000166225	FRS2	109440	1
22090	ENSG00000166226	CCT2	16144	0
22091	ENSG00000198812	LRRC10	2343	1
22092	ENSG00000127325	BEST3	56116	1
22093	ENSG00000247131	AC025263.1	24941	0
22094	ENSG00000127328	RAB3IP	84523	1
22095	ENSG00000166268	MYRFL	133870	1
22096	ENSG00000257815	AC025159.1	341461	0
22097	ENSG00000257241	AC078922.1	538	0
22098	ENSG00000257139	LINC02821	21666	0
22099	ENSG00000257613	LINC01481	2730	0
22100	ENSG00000287132	AC092881.2	3316	1
22101	ENSG00000111596	CNOT2	111999	0.5
22102	ENSG00000135643	KCNMB4	68002	1
22103	ENSG00000258168	AC025569.1	74960	0
22104	ENSG00000127329	PTPRB	121574	1
22105	ENSG00000277247	AC083809.1	471	0
22106	ENSG00000153233	PTPRR	282665	1
22107	ENSG00000257265	AC123905.1	24310	0
22108	ENSG00000257454	AC025575.1	70404	0
22109	ENSG00000258053	AC025575.2	70845	0
22110	ENSG00000127324	TSPAN8	316813	1
22111	ENSG00000139292	LGR5	146512	1
22112	ENSG00000277223	AC090116.1	445	1
22113	ENSG00000257761	AC078860.2	12111	0
22114	ENSG00000133858	ZFC3H1	58253	1
22115	ENSG00000173451	THAP2	16343	1
22116	ENSG00000139291	TMEM19	18965	0.5
22117	ENSG00000257515	AC011601.1	1203	0
22118	ENSG00000080371	RAB21	45423	0.5
22119	ENSG00000257410	AC089984.1	5772	0
22120	ENSG00000121749	TBC1D15	87541	0.5
22121	ENSG00000139287	TPH2	247773	1
22122	ENSG00000258115	AC090109.1	11228	0
22123	ENSG00000072657	TRHDE	583492	1
22124	ENSG00000236333	TRHDE-AS1	26990	1
22125	ENSG00000258235	AC133480.1	921	0
22126	ENSG00000258294	AC090503.2	27901	1
22127	ENSG00000258123	LINC02444	49127	0
22128	ENSG00000257682	AC090503.1	3020	0
22129	ENSG00000257750	LINC02445	87531	0
22130	ENSG00000251138	AC090015.1	582285	0
22131	ENSG00000257587	AC136188.1	12397	0
22132	ENSG00000258332	LINC02394	10957	0
22133	ENSG00000257183	AC090502.2	35032	0
22134	ENSG00000253719	ATXN7L3B	7595	0.5
22135	ENSG00000257386	AC025257.1	488	0
22136	ENSG00000257434	AC073525.1	23824	0
22137	ENSG00000166006	KCNC2	169791	1
22138	ENSG00000254451	AC091534.1	63768	0
22139	ENSG00000180881	CAPS2	114949	1
22140	ENSG00000273987	AC121761.2	688	1
22141	ENSG00000173401	GLIPR1L1	35890	1
22142	ENSG00000180481	GLIPR1L2	41599	1
22143	ENSG00000139278	GLIPR1	23110	1
22144	ENSG00000257497	AC121761.1	6366	0
22145	ENSG00000111615	KRR1	20773	0.5
22146	ENSG00000258077	AC078923.1	420813	0
22147	ENSG00000286259	AC078820.2	42742	1
22148	ENSG00000258088	AC078820.1	4806	0
22149	ENSG00000257329	AC011611.2	2622	0
22150	ENSG00000139289	PHLDA1	8485	1
22151	ENSG00000257453	AC011611.3	884	0
22152	ENSG00000257839	AC011611.4	1239	0
22153	ENSG00000187109	NAP1L1	48373	1
22154	ENSG00000257219	LNCOG	46133	0
22155	ENSG00000179941	BBS10	3941	0
22156	ENSG00000091039	OSBPL8	208012	1
22157	ENSG00000257526	AC107032.2	53273	0
22158	ENSG00000287030	AC107032.3	11168	1
22159	ENSG00000186908	ZDHHC17	90108	1
22160	ENSG00000175183	CSRP2	20314	1
22161	ENSG00000257910	AC124784.1	2159	0
22162	ENSG00000165891	E2F7	44321	1
22163	ENSG00000286476	AC079030.1	34460	1
22164	ENSG00000257677	LINC02464	97631	0
22165	ENSG00000067798	NAV3	888369	1
22166	ENSG00000257835	AC073591.1	11099	0
22167	ENSG00000258066	AC138331.1	7793	0
22168	ENSG00000258225	AC073571.1	39556	0
22169	ENSG00000258220	LINC02424	33066	0
22170	ENSG00000258084	AC128707.1	130511	0
22171	ENSG00000257879	AC130415.1	16126	0
22172	ENSG00000257165	AC079362.1	91680	0
22173	ENSG00000257948	AC068993.2	14863	0
22174	ENSG00000067715	SYT1	588015	1
22175	ENSG00000257191	AC090709.1	85386	0
22176	ENSG00000257894	AC027288.3	162191	0
22177	ENSG00000257474	AC027288.1	10332	0
22178	ENSG00000177425	PAWR	115985	1
22179	ENSG00000258048	AC073569.2	88307	0
22180	ENSG00000058272	PPP1R12A	161897	1
22181	ENSG00000277130	AC073569.3	681	1
22182	ENSG00000258044	AC073569.1	1718	0
22183	ENSG00000257557	PPP1R12A-AS1	7811	0
22184	ENSG00000165899	OTOGL	281342	1
22185	ENSG00000139304	PTPRQ	278095	1
22186	ENSG00000257429	AC074031.1	10018	0
22187	ENSG00000111046	MYF6	1840	1
22188	ENSG00000111049	MYF5	2759	1
22189	ENSG00000257741	LINC01490	7566	0
22190	ENSG00000111052	LIN7A	145405	1
22191	ENSG00000111058	ACSS3	324796	1
22192	ENSG00000258026	AC078955.1	31492	0
22193	ENSG00000139220	PPFIA2	501578	1
22194	ENSG00000257467	PPFIA2-AS1	41753	0
22195	ENSG00000258162	AC069228.1	178595	0
22196	ENSG00000257747	LINC02426	39417	0
22197	ENSG00000133773	CCDC59	135124	0.5
22198	ENSG00000127720	METTL25	120711	1
22199	ENSG00000258170	AC089998.4	16442	0
22200	ENSG00000257837	AC089998.2	977	0
22201	ENSG00000257431	AC089998.1	3140	0
22202	ENSG00000286043	AC091214.1	13562	1
22203	ENSG00000179104	TMTC2	447990	1
22204	ENSG00000258338	AC090680.1	1150	0
22205	ENSG00000257124	AC093025.1	710	0
22206	ENSG00000285191	AC090679.3	7034	1
22207	ENSG00000257729	AC090679.2	140128	0
22208	ENSG00000072041	SLC6A15	54124	1
22209	ENSG00000231738	TSPAN19	21966	1
22210	ENSG00000133640	LRRIQ1	228143	1
22211	ENSG00000180318	ALX1	21564	1
22212	ENSG00000258815	LINC02820	24852	0
22213	ENSG00000198774	RASSF9	35706	1
22214	ENSG00000133636	NTS	8697	1
22215	ENSG00000182050	MGAT4C	883238	1
22216	ENSG00000258178	AC016993.1	2260	0
22217	ENSG00000258185	AC010196.1	239420	0
22218	ENSG00000257912	LINC02258	6295	0
22219	ENSG00000257940	AC079598.1	1345	0
22220	ENSG00000165805	C12orf50	54002	1
22221	ENSG00000133641	C12orf29	16314	0.5
22222	ENSG00000198707	CEP290	93074	1
22223	ENSG00000139324	TMTC3	57591	1
22224	ENSG00000049130	KITLG	88058	1
22225	ENSG00000281333	AC024941.2	20194	0
22226	ENSG00000278011	AC024941.1	333	0
22227	ENSG00000246363	LINC02458	298885	0
22228	ENSG00000139318	DUSP6	5266	1
22229	ENSG00000274021	AC024909.1	2256	0
22230	ENSG00000286608	AC010201.3	64761	1
22231	ENSG00000271327	AC010201.2	1494	0
22232	ENSG00000271259	AC010201.1	539	0
22233	ENSG00000139323	POC1B	106329	1
22234	ENSG00000257594	GALNT4	5384	1
22235	ENSG00000270344	POC1B-AS1	23411	0
22236	ENSG00000258302	AC025034.1	33749	0
22237	ENSG00000070961	ATP2B1	121251	1
22238	ENSG00000271614	ATP2B1-AS1	3631	0
22239	ENSG00000258216	AC009522.1	388715	0
22240	ENSG00000257725	LINC02399	2033	0
22241	ENSG00000257194	AC126178.1	5040	0
22242	ENSG00000258183	LINC02392	20080	0
22243	ENSG00000286021	LINC02822	313515	1
22244	ENSG00000257995	AC084365.1	5063	0
22245	ENSG00000288102	AC112481.2	190989	1
22246	ENSG00000257787	AC112481.1	1482	0
22247	ENSG00000197651	CCER1	49554	1
22248	ENSG00000196243	LINC00615	30646	0
22249	ENSG00000083782	EPYC	41344	1
22250	ENSG00000139330	KERA	7492	1
22251	ENSG00000139329	LUM	8865	1
22252	ENSG00000011465	DCN	42340	1
22253	ENSG00000258100	LINC02823	41562	0
22254	ENSG00000286049	AC090016.1	3155	1
22255	ENSG00000277738	AC126175.2	757	0
22256	ENSG00000258125	AC025254.1	742	0
22257	ENSG00000257893	LINC02404	3735	0
22258	ENSG00000257863	AC090049.1	4729	0
22259	ENSG00000257242	LINC01619	157938	1
22260	ENSG00000286907	AC123512.1	14543	1
22261	ENSG00000287714	AC025164.2	5945	1
22262	ENSG00000133639	BTG1	5568	1
22263	ENSG00000245904	AC025164.1	80984	0
22264	ENSG00000277851	LINC02391	116135	0
22265	ENSG00000205057	CLLU1OS	8054	1
22266	ENSG00000257127	CLLU1	9471	0
22267	ENSG00000205056	LINC02397	25640	0
22268	ENSG00000187510	C12orf74	69612	1
22269	ENSG00000102189	EEA1	158694	1
22270	ENSG00000257345	LINC02413	20602	0
22271	ENSG00000257322	AC138123.1	212264	0
22272	ENSG00000257746	AC138123.2	18149	0
22273	ENSG00000258171	LINC02412	8829	0
22274	ENSG00000257252	AC124947.1	61031	0
22275	ENSG00000173598	NUDT4	30263	1
22276	ENSG00000177889	UBE2N	36274	0.5
22277	ENSG00000198015	MRPL42	48726	0
22278	ENSG00000246985	SOCS2-AS1	29746	1
22279	ENSG00000120833	SOCS2	13673	1
22280	ENSG00000169372	CRADD	217465	0.5
22281	ENSG00000258274	AC012085.2	30032	0
22282	ENSG00000258303	AC012464.2	1871	1
22283	ENSG00000257283	AC012464.1	48638	0
22284	ENSG00000271382	AC012464.3	2772	0
22285	ENSG00000136040	PLXNC1	159098	1
22286	ENSG00000258035	AC123567.2	20196	0
22287	ENSG00000287237	AC073655.3	1751	1
22288	ENSG00000258172	AC073655.1	5045	0
22289	ENSG00000258365	AC073655.2	5086	0
22290	ENSG00000173588	CEP83	153539	1
22291	ENSG00000278916	CEP83-DT	2481	0
22292	ENSG00000257400	AC023161.1	4896	0
22293	ENSG00000057704	TMCC3	83435	1
22294	ENSG00000184752	NDUFA12	106693	0
22295	ENSG00000120798	NR2C1	53399	0.5
22296	ENSG00000180263	FGD6	140733	1
22297	ENSG00000028203	VEZT	85053	0.5
22298	ENSG00000258313	AC084879.2	668	0
22299	ENSG00000111142	METAP2	42319	0.5
22300	ENSG00000136014	USP44	34916	1
22301	ENSG00000074527	NTN4	133345	1
22302	ENSG00000258343	AC090001.1	67106	0
22303	ENSG00000258292	LINC02410	20210	0
22304	ENSG00000139343	SNRPF	44900	1
22305	ENSG00000165972	CCDC38	75587	1
22306	ENSG00000139344	AMDHD1	25389	1
22307	ENSG00000084110	HAL	23703	1
22308	ENSG00000257878	AC007298.2	14968	0
22309	ENSG00000111144	LTA4H	42767	1
22310	ENSG00000257715	AC007298.1	2648	0
22311	ENSG00000283422	LINC02452	11434	1
22312	ENSG00000111145	ELK3	75449	1
22313	ENSG00000258177	AC008149.1	1176	0
22314	ENSG00000287454	AC008149.2	6087	1
22315	ENSG00000059758	CDK17	122219	1
22316	ENSG00000258272	AC007513.1	63116	0
22317	ENSG00000188596	CFAP54	385984	1
22318	ENSG00000139350	NEDD1	46554	1
22319	ENSG00000258131	AC007656.2	199953	0
22320	ENSG00000257470	AC007656.1	103605	0
22321	ENSG00000286434	AC007656.4	5304	1
22322	ENSG00000257920	LINC02409	3517	0
22323	ENSG00000255794	RMST	167531	1
22324	ENSG00000258312	AC016152.1	179431	0
22325	ENSG00000286056	AC008055.2	3273	1
22326	ENSG00000245017	LINC02453	18311	0
22327	ENSG00000257167	TMPO-AS1	3449	0
22328	ENSG00000120802	TMPO	34867	0.5
22329	ENSG00000075415	SLC25A3	12788	0
22330	ENSG00000166130	IKBIP	31708	1
22331	ENSG00000120868	APAF1	90292	1
22332	ENSG00000185046	ANKS1B	1258197	1
22333	ENSG00000257458	AC069437.1	44974	0
22334	ENSG00000258039	AC117377.1	11652	0
22335	ENSG00000180219	FAM71C	2361	1
22336	ENSG00000287675	AC078916.1	574	1
22337	ENSG00000111647	UHRF1BP1L	114419	0.5
22338	ENSG00000257696	AC010203.2	1613	0
22339	ENSG00000075089	ACTR6	42743	1
22340	ENSG00000166153	DEPDC4	63410	1
22341	ENSG00000136021	SCYL2	74575	0.5
22342	ENSG00000179520	SLC17A8	64981	1
22343	ENSG00000012504	NR1H4	90706	1
22344	ENSG00000139354	GAS2L3	54605	1
22345	ENSG00000151572	ANO4	411115	1
22346	ENSG00000257325	AC138360.1	6931	0
22347	ENSG00000258007	AC063947.1	674	0
22348	ENSG00000256870	SLC5A8	54745	1
22349	ENSG00000120800	UTP20	106513	1
22350	ENSG00000120805	ARL1	14656	0.5
22351	ENSG00000257543	AC063948.1	688	0
22352	ENSG00000166211	SPIC	11661	1
22353	ENSG00000196091	MYBPC1	117675	1
22354	ENSG00000257514	AC117505.1	13250	0
22355	ENSG00000274560	AC010205.1	448	0
22356	ENSG00000111666	CHPT1	47193	0.5
22357	ENSG00000139351	SYCP3	10824	1
22358	ENSG00000111670	GNPTAB	85460	1
22359	ENSG00000136048	DRAM1	134550	1
22360	ENSG00000257202	AC084398.2	1309	0
22361	ENSG00000258308	AC079907.2	7422	0
22362	ENSG00000120860	WASHC3	49309	1
22363	ENSG00000257222	AC079907.1	11465	0
22364	ENSG00000075188	NUP37	47017	1
22365	ENSG00000185480	PARPBP	77335	1
22366	ENSG00000183395	PMCH	1374	1
22367	ENSG00000281344	HELLPAR	205011	1
22368	ENSG00000283052	LINC02456	159136	0
22369	ENSG00000017427	IGF1	85870	1
22370	ENSG00000258169	LINC00485	15119	0
22371	ENSG00000171759	PAH	121521	1
22372	ENSG00000282964	AC026108.1	546	1
22373	ENSG00000139352	ASCL1	2839	1
22374	ENSG00000288092	AC026108.2	2733	1
22375	ENSG00000257703	AC068643.1	99041	0
22376	ENSG00000257860	AC068643.2	27413	0
22377	ENSG00000179088	C12orf42	258419	1
22378	ENSG00000286197	AC084364.3	53003	1
22379	ENSG00000257762	LINC02401	31196	0
22380	ENSG00000136011	STAB2	179446	1
22381	ENSG00000257737	AC025265.2	3215	0
22382	ENSG00000257766	AC025265.3	831	0
22383	ENSG00000257681	AC025265.1	22543	0
22384	ENSG00000111696	NT5DC3	70781	1
22385	ENSG00000257754	AC012555.2	2475	0
22386	ENSG00000257327	AC012555.1	3213	0
22387	ENSG00000166598	HSP90B1	23538	0
22388	ENSG00000204954	C12orf73	24945	1
22389	ENSG00000139372	TDG	23052	1
22390	ENSG00000120820	GLT8D2	75199	1
22391	ENSG00000111727	HCFC2	41993	1
22392	ENSG00000120837	NFYB	21155	0.5
22393	ENSG00000257193	LINC02385	7264	0
22394	ENSG00000286258	AC089983.2	6199	1
22395	ENSG00000198431	TXNRD1	134528	0
22396	ENSG00000257732	AC089983.1	18408	0
22397	ENSG00000255150	EID3	1466	1
22398	ENSG00000171310	CHST11	306719	1
22399	ENSG00000136052	SLC41A2	156191	1
22400	ENSG00000286410	AC089985.1	12927	1
22401	ENSG00000151131	C12orf45	87881	0.5
22402	ENSG00000136010	ALDH1L2	87859	0
22403	ENSG00000136051	WASHC4	61810	1
22404	ENSG00000136044	APPL2	62906	0.5
22405	ENSG00000235162	C12orf75	160807	1
22406	ENSG00000286903	AC078874.1	6835	1
22407	ENSG00000257642	AC011313.1	22150	0
22408	ENSG00000286520	AC079851.1	4352	1
22409	ENSG00000257859	CASC18	39859	0
22410	ENSG00000257890	AC011595.2	7293	0
22411	ENSG00000074590	NUAK1	76693	1
22412	ENSG00000257438	AC011595.1	3002	0
22413	ENSG00000136026	CKAP4	66398	0.5
22414	ENSG00000258355	AC079174.1	1343	1
22415	ENSG00000277715	AC079174.2	2027	0
22416	ENSG00000166046	TCP11L2	45074	1
